Title:       ,Sunset_PID
 2.8013400 , 8.2434820
 2.8019850 , 8.2431390
 2.8018610 , 8.2427130
 2.8020770 , 8.2424010
 2.8024160 , 8.2423350
 2.8021650 , 8.2417060
 2.8030800 , 8.2413430
 2.8031590 , 8.2410440
 2.8030120 , 8.2407000
 2.8031160 , 8.2404820
 2.8038030 , 8.2399750
 2.8035060 , 8.2398200
 2.8035770 , 8.2394970
 2.8057190 , 8.2389760
 2.8044090 , 8.2386880
 2.8044690 , 8.2381920
 2.8049420 , 8.2382250
 2.8048710 , 8.2376280
 2.8052420 , 8.2374500
 2.8053700 , 8.2369970
 2.8057370 , 8.2367810
 2.8060520 , 8.2364130
 2.8060300 , 8.2357150
 2.8064820 , 8.2357260
 2.8062740 , 8.2351750
 2.8064760 , 8.2348040
 2.8075320 , 8.2344750
 2.8068460 , 8.2344830
 2.8070860 , 8.2342780
 2.8078090 , 8.2337060
 2.8074950 , 8.2332620
 2.8075610 , 8.2331370
 2.8079280 , 8.2330470
 2.8079530 , 8.2326760
 2.8080980 , 8.2320780
 2.8084560 , 8.2319380
 2.8084610 , 8.2315860
 2.8085600 , 8.2311950
 2.8087170 , 8.2306880
 2.8096730 , 8.2304230
 2.8102460 , 8.2304120
 2.8094050 , 8.2298920
 2.8100290 , 8.2295440
 2.8100140 , 8.2291360
 2.8101270 , 8.2290750
 2.8103060 , 8.2285210
 2.8111970 , 8.2280740
 2.8107180 , 8.2279030
 2.8112990 , 8.2274310
 2.8115130 , 8.2272130
 2.8113300 , 8.2267700
 2.8115530 , 8.2265440
 2.8115080 , 8.2264220
 2.8124690 , 8.2258440
 2.8120940 , 8.2253150
 2.8119840 , 8.2253960
 2.8126630 , 8.2249680
 2.8122780 , 8.2246390
 2.8126650 , 8.2241450
 2.8127490 , 8.2239270
 2.8143090 , 8.2236300
 2.8132460 , 8.2234670
 2.8132920 , 8.2229530
 2.8135120 , 8.2226720
 2.8145340 , 8.2224920
 2.8138990 , 8.2221200
 2.8140900 , 8.2216720
 2.8145420 , 8.2215700
 2.8148020 , 8.2211420
 2.8146540 , 8.2210190
 2.8147770 , 8.2204420
 2.8153900 , 8.2202280
 2.8152440 , 8.2197900
 2.8157240 , 8.2195590
 2.8155670 , 8.2191630
 2.8159260 , 8.2190510
 2.8160140 , 8.2186880
 2.8158590 , 8.2182330
 2.8161680 , 8.2180400
 2.8165530 , 8.2176530
